sep=; 
"region";"url_region";"estacion";"estacion_enlinea";"url_estacion";"provincia";"comuna";"coord_utm";"huso";"longitud";"latitud";"fecha_consulta";"n_parametros"
"V";"/index.php/region/index/id/V";"La Calera";FALSE;"/index.php/estacion/index/id/7";"Quillota";"Calera";"294940 E 6370730 N";"19";-71.1895458524074;-32.7822528052744;2020-07-16;11
"V";"/index.php/region/index/id/V";"La Cruz, Colbún";FALSE;"/index.php/estacion/index/id/13";"Quillota";"Calera";"291759 E 6363531 N";"19";-71.2251067921911;-32.846545164606;2020-07-16;20
"V";"/index.php/region/index/id/V";"La Cruz, Melón";FALSE;"/index.php/estacion/index/id/14";"Quillota";"La Cruz";"291464 E 6367285 N";"19";-71.2274115884232;-32.8126513429053;2020-07-16;7
"V";"/index.php/region/index/id/V";"La Greda";TRUE;"/index.php/estacion/index/id/278";"Valparaíso";"Puchuncaví";"268185 E 6373910 N";"19";-71.4742143059298;-32.7482762248068;2020-07-16;18
"V";"/index.php/region/index/id/V";"La Palma";TRUE;"/index.php/estacion/index/id/142";"Quillota";"Quillota";"2933302 E 6358631 N";"19";NA;NA;2020-07-16;24
"V";"/index.php/region/index/id/V";"Las Gaviotas";TRUE;"/index.php/estacion/index/id/193";"Valparaíso";"Concón";"267940 E 6355336 N";"19";-71.4814814097924;-32.9156162562679;2020-07-16;18
"V";"/index.php/region/index/id/V";"Lo Campo";TRUE;"/index.php/estacion/index/id/210";"San Felipe de Aconcagua";"Panquehue";"322275 E 6369529 N";"19";-70.8980531413835;-32.7978421814396;2020-07-16;10
"V";"/index.php/region/index/id/V";"Loncura";TRUE;"/index.php/estacion/index/id/208";"Valparaíso";"Quintero";"266226 E 6368689 N";"19";-71.4964200897907;-32.7949140997702;2020-07-16;34
"V";"/index.php/region/index/id/V";"Los Andes";TRUE;"/index.php/estacion/index/id/266";"Los Andes";"Los Andes";"351534 E 6364623 N";"19";-70.5864752883109;-32.8464264106927;2020-07-16;23
"V";"/index.php/region/index/id/V";"Manzanar";FALSE;"/index.php/estacion/index/id/6";"Quillota";"Quillota";"278154 E 6355829 N";"19";-71.3722246281917;-32.9132931112758;2020-07-16;22
"V";"/index.php/region/index/id/V";"Meteorológica Principal";FALSE;"/index.php/estacion/index/id/109";"Valparaíso";"Puchuncaví";"267310 E 6371939 N";"19";-71.4840392128271;-32.7658546487644;2020-07-16;20
"V";"/index.php/region/index/id/V";"Quilpue";TRUE;"/index.php/estacion/index/id/155";"Valparaíso";"Quilpué";"272673 E 6340819 N";"19";-71.4345000749348;-33.0474413247694;2020-07-16;4
"V";"/index.php/region/index/id/V";"Quintero";TRUE;"/index.php/estacion/index/id/183";"Valparaíso";"Quintero";"262528 E 63711087 N";"19";-71.535303287094;-32.772516452112;2020-07-16;18
"V";"/index.php/region/index/id/V";"Romeral";TRUE;"/index.php/estacion/index/id/253";"San Felipe de Aconcagua";"Catemu";"312181 E 6366428 N";"19";-71.0064269801658;-32.8241180976399;2020-07-16;8
"V";"/index.php/region/index/id/V";"Rural 1";FALSE;"/index.php/estacion/index/id/145";"Quillota";"Calera";"195815 E 6371858 N";"19";NA;NA;2020-07-16;18
"V";"/index.php/region/index/id/V";"San Pedro";TRUE;"/index.php/estacion/index/id/41";"Quillota";"Quillota";"287372 E 6353370 N";"19";-71.2742914076228;-32.9372883327218;2020-07-16;24
"V";"/index.php/region/index/id/V";"Santa Margarita";TRUE;"/index.php/estacion/index/id/132";"San Felipe de Aconcagua";"Catemu";"318469 E 6371812 N";"19";-70.9382336584756;-32.7766372321929;2020-07-16;11
"V";"/index.php/region/index/id/V";"Sur";TRUE;"/index.php/estacion/index/id/251";"Valparaíso";"Quintero";"267461 E 6368037 N";"19";-71.4834059796204;-32.801052169634;2020-07-16;22
"V";"/index.php/region/index/id/V";"Terminal Concentrados";FALSE;"/index.php/estacion/index/id/73";"Valparaíso";"Puchuncaví";"267640 E 6373585 N";"19";-71.4801077246371;-32.7510902662868;2020-07-16;18
"V";"/index.php/region/index/id/V";"Valle Alegre";TRUE;"/index.php/estacion/index/id/203";"Valparaíso";"Quintero";"271889 E 6367413 N";"19";-71.4363078564257;-32.8076046475203;2020-07-16;14
"V";"/index.php/region/index/id/V";"Valparaiso";TRUE;"/index.php/estacion/index/id/174";"Valparaíso";"Valparaíso";"255891 E 6340183 N";"19";-71.6142353875432;-33.0495365969399;2020-07-16;2
"V";"/index.php/region/index/id/V";"Ventanas";TRUE;"/index.php/estacion/index/id/188";"Valparaíso";"Puchuncaví";"267547 E 6474609 N";"19";-71.4564045647854;-31.8405423695608;2020-07-16;22
"V";"/index.php/region/index/id/V";"Viña del Mar";TRUE;"/index.php/estacion/index/id/247";"Valparaíso";"Viña del Mar";"261803 E 6343569 N";"19";-71.5500974315639;-33.0203346362397;2020-07-16;35
"VI";"/index.php/region/index/id/VI";"Casas de Peuco";FALSE;"/index.php/estacion/index/id/58";"Cachapoal";"Mostazal";"348550 E 6241714 N";"19";-70.6390309128772;-33.9541830164161;2020-07-16;27
"VI";"/index.php/region/index/id/VI";"Cauquenes";TRUE;"/index.php/estacion/index/id/173";"Cachapoal";"Machalí";"356722 E 6209574 N";"19";-70.5559158964252;-34.2450852426433;2020-07-16;9
"VI";"/index.php/region/index/id/VI";"Cipreses";TRUE;"/index.php/estacion/index/id/246";"Cachapoal";"Machalí";"365276 E 6207829 N";"19";-70.4633243122187;-34.2619610533571;2020-07-16;8
"VI";"/index.php/region/index/id/VI";"Codegua";FALSE;"/index.php/estacion/index/id/113";"Cachapoal";"Codegua";"346716 E 6233063 N";"19";-70.660388433546;-34.0319071078377;2020-07-16;27
